"キヤノン","A,B,C,＊"
"ハイキヤノン","C,D,E"
"メガキヤノン","E,F,G"
"エアシユート","A,S,V,＊"
"バルカン1","E,S,V,＊"
"バルカン2","B,H,O"
"バルカン3","O,T,W"
"スプレツドガン","L,M,N,＊"
"ヒートシヨツト","B,C,D,＊"
"ヒートブイ","C,D,E"
"ヒートサイド","D,E,F"
"バブルシヨツト","P,Q,R,＊"
"バブルブイ","C,D,E"
"バブルサイド","D,E,F"
"サンダーボール1","B,L,P,＊"
"サンダーボール2","H,P,S"
"サンダーボール3","I,T,W"
"ワイドシヨツト1","C,D,E,＊"
"ワイドシヨツト2","L,M,N"
"ワイドシヨツト3","S,T,U"
"フレイムライン1","F,G,H,＊"
"フレイムライン2","D,E,F"
"フレイムライン3","J,K,L"
"ガンデルソル1","A,G,M,＊"
"ガンデルソル2","B,G,S"
"ガンデルソル3","C,G,T"
"ブリザード","H,J,V,＊"
"ヒートブレス","D,K,O,＊"
"エレキシヨツク","J,L,S,＊"
"ウツデイパウダー","F,T,W,＊"
"サンドリング","C,R,S,＊"
"ツインフアング1","A,B,C,＊"
"ツインフアング2","O,P,Q"
"ツインフアング3","F,G,H"
"エレメントフレア","K,N,P"
"エレメントアイス","H,Q,V"
"エレメントリーフ","C,D,I"
"エレメントサンド","A,L,S,＊"
"マグボルト1","B,C,D,＊"
"マグボルト2","E,F,G"
"マグボルト3","A,B,C"
"トルネード","E,L,T"
"ノイズストーム","B,G,Z,＊"
"ミニボム","B,L,T,＊"
"エナジーボム","E,N,T,＊"
"メガエナジーボム","D,J,W"
"ホウガン","B,T,V,＊"
"ブラツクボム","D,H,Z"
"カンケツセン","B,L,V"
"バグボム","B,G,Z,＊"
"バウンドノート1","C,O,S,＊"
"バウンドノート2","A,T,Y"
"バウンドノート3","E,I,O"
"ソード","E,L,S"
"ワイドソード","E,L,S"
"ロングソード","E,L,S"
"ワイドブレード","C,K,S"
"ロングブレード","G,R,S"
"カスタムソード","B,P,S"
"バリアブルソード","C,J,V"
"イアイフオーム","F,H,R"
"フウジンラケツト","A,L,R,＊"
"エアホツケー1","D,E,F,＊"
"エアホツケー2","I,J,K"
"エアホツケー3","U,V,W"
"カウンター1","F,M,T,＊"
"カウンター2","B,H,L,＊"
"カウンター3","A,N,V"
"ブーメラン1","L,M,N,＊"
"ブーメラン2","L,M,N"
"ブーメラン3","S,T,U"
"サイドバンブー1","B,I,R,＊"
"サイドバンブー2","H,O,S"
"サイドバンブー3","A,F,U"
"バンブーランス","A,G,R,＊"
"ホワイトウエブ1","D,L,R,＊"
"ホワイトウエブ2","C,E,Y,＊"
"ホワイトウエブ3","K,O,V,＊"
"モコラツシユ1","C,I,M"
"モコラツシユ2","G,K,U"
"モコラツシユ3","O,T,Y"
"サークルガン1","H,T,Z"
"サークルガン2","D,G,T"
"サークルガン3","J,M,R"
"カモンスネーク","D,M,R"
"マグナム","H,Q,V"
"ビツグハンマー1","B,O,R"
"ビツグハンマー2","G,J,W"
"ビツグハンマー3","D,V,Z"
"ボーイズボム1","E,J,M"
"ボーイズボム2","I,S,W"
"ボーイズボム3","G,T,V"
"カウントボム","J,K,L"
"ステルスマイン","C,H,Z"
"ストーンキユーブ","＊"
"トツプウ","＊"
"スイコミ","＊"
"オウエンカ","E,G,N,＊"
"デイスコード","D,T,V,＊"
"テインパニー","P,T,Z,＊"
"サイレンス","C,M,R,＊"
"ワラニンギヨウ","I,O,Y"
"メツトガード1","A,L,V,＊"
"メツトガード2","C,G,P,＊"
"メツトガード3","F,R,T,＊"
"クラツクアウト","＊"
"ダブルクラツク","B,L,R,＊"
"トリプルクラツク","B,L,R,＊"
"リカバリー10","A,L,N,＊"
"リカバリー30","F,H,R,＊"
"リカバリー50","E,L,S,＊"
"リカバリー80","B,J,O,＊"
"リカバリー120","F,J,Q,＊"
"リカバリー150","C,T,Z"
"リカバリー200","H,M,W"
"リカバリー300","J,N,Y"
"リペアー","I,P,R,＊"
"パネルスチール","K,O,Y,＊"
"エリアスチール","E,M,S,＊"
"スチールゼリー","K,T,Z"
"スチールパニシユ","E,K,P"
"スチールリベンジ","D,J,N"
"パネルリターン","＊"
"デスマツチ1","J,K,W"
"デスマツチ2","N,T,Y"
"デスマツチ3","H,Q,U"
"ヘビーゲージ","E,H,V,＊"
"クイツクゲージ","I,Q,U,＊"
"ブラインド","＊"
"スーパーキタカゼ","E,N,T,＊"
"ホーリーパネル","＊"
"ダークホール","＊"
"インビジブル","＊"
"ユカシタ","J,P,Y,＊"
"バリア","A,D,Z,＊"
"バリア100","P,Q,W"
"バリア200","I,O,U"
"カキゲンキン","K"
"ダイコウズイ","D"
"ヒライシン","H"
"マヨイノモリ","M"
"カワリミ","K,M,R"
"シラハドリ","C,I,N,＊"
"ナビスカウト","J,M,T"
"バツドメデイスン","B,D,G,＊"
"コピーダメージ","＊"
"ライフシンクロ","N,Q,Y"
"アタツク+10","＊"
"ナビ+20","＊"
"カラーポイント","＊"
"スーパーバルカン","V"
"ネオバリアブル","N"
"リユウセイグン","R"
"ゴツドハンマー","G"
"オジゾウサン","O"
"ジエラシー","J"
"バグチエーン","C,＊"
"バグシユウセイ","B,＊"
"フルカスタム","＊"
"ドリームオーラ","D"
"サンクチユアリ","S"
"アタツク＋30","＊"
"ダブルポイント","＊"
"ムラマサブレード","M"
"ポイズンアヌビス","A"
"エレメントダーク","E"
"ブラツクウイング","W"
"ダークライン","L,＊"
"ブルース","B"
"ブルースSP","B"
"ブルースDS","B"
"ナンバーマン","N"
"ナンバーマンSP","N"
"ナンバーマンDS","N"
"メタルマン","M"
"メタルマンSP","M"
"メタルマンDS","M"
"ジヤンクマン","J"
"ジヤンクマンSP","J"
"ジヤンクマンDS","J"
"アクアマン","A"
"アクアマンSP","A"
"アクアマンDS","A"
"ウツドマン","W"
"ウツドマンSP","W"
"ウツドマンDS","W"
"ロール","R"
"ロールSP","R"
"ロールDS","R"
"ガツツマン","G"
"ガツツマンSP","G"
"ガツツマンDS","G"
"ウインドマン","W"
"ウインドマンSP","W"
"ウインドマンDS","W"
"サーチマン","S"
"サーチマンSP","S"
"サーチマンDS","S"
"フアイアマン","F"
"フアイアマンSP","F"
"フアイアマンDS","F"
"サンダーマン","T"
"サンダーマンSP","T"
"サンダーマンDS","T"
"タツプマン","T"
"タツプマンSP","T"
"タツプマンDS","T"
"バーナーマン","B"
"バーナーマンSP","B"
"バーナーマンDS","B"
"コールドマン","C"
"コールドマンSP","C"
"コールドマンDS","C"
"スパークマン","S"
"スパークマンSP","S"
"スパークマンDS","S"
"シエードマン","X"
"シエードマンSP","X"
"シエードマンDS","X"
"レーザーマン","L"
"レーザーマンSP","L"
"レーザーマンDS","L"
"ケンドーマン","K"
"ケンドーマンSP","K"
"ケンドーマンDS","L"
"ビデオマン","V"
"ビデオマンSP","V"
"ビデオマンDS","V"
"ブルームーンレイ","B"
"シグナルレツド","S"
"フオルテアナザー","X"
"カースオブバグ","C"
"デルタレイエツジ","Z"
"メテオレツドサン","R"
"ホーリードリーム","H"
"フオルテ","X"
"バグチヤージ","C"
"ブラツクバリア","A"
"ロールアロー1","A,F,T"
"ロールアロー2","D,R,W"
"ロールアロー3","Q,Y,Z"
"ガツツパンチ1","B,E,N"
"ガツツパンチ2","G,P,Y"
"ガツツパンチ3","M,Q,T"
"プロペラボム1","E,G,P,＊"
"プロペラボム2","F,V,Z,＊"
"プロペラボム3","H,J,Q"
"サーチボム1","B,R,S,＊"
"サーチボム2","C,I,O"
"サーチボム3","M,U,W"
"メテオレイン1","G,L,S,＊"
"メテオレイン2","M,Q,T"
"メテオレイン3","C,R,Z"
"ライトニング1","L,T,W,＊"
"ライトニング2","A,E,V"
"ライトニング3","H,J,Q"
"ハヤブサギリ1","H,N,O"
"ハヤブサギリ2","F,S,V"
"ハヤブサギリ3","I,N,Z"
"ナンバーボール1","E,L,W"
"ナンバーボール2","A,E,P"
"ナンバーボール3","L,T,Y"
"メタルギア1","A,M,P,＊"
"メタルギア2","C,E,G,＊"
"メタルギア3","I,L,Q,＊"
"パネルシユート1","A,H,S,＊"
"パネルシユート2","C,G,T,＊"
"パネルシユート3","F,J,N,＊"
"アクアアツパー1","B,S,Z"
"アクアアツパー2","I,P,U"
"アクアアツパー3","F,K,W"
"グリーンウツド1","G,J,Y"
"グリーンウツド2","D,K,P"
"グリーンウツド3","E,N,P"
"ガンデルソルEX","G"
"Zセイバー","Z"
"グランプリパワー","G"
"デユーオ","D"
