チップ名,コード,枚数
キヤノン,A,99
キヤノン,B,99
キヤノン,C,99
キヤノン,＊,95
ハイキヤノン,C,99
ハイキヤノン,D,99
ハイキヤノン,E,99
メガキヤノン,E,54
メガキヤノン,F,97
メガキヤノン,G,99
エアシユート,A,99
エアシユート,S,74
エアシユート,V,90
エアシユート,＊,95
バルカン1,E,83
バルカン1,S,80
バルカン1,V,99
バルカン1,＊,99
バルカン2,B,99
バルカン2,H,99
バルカン2,O,99
バルカン3,O,36
バルカン3,T,45
バルカン3,W,64
スプレツドガン,L,98
スプレツドガン,M,99
スプレツドガン,N,99
スプレツドガン,＊,99
ヒートシヨツト,B,99
ヒートシヨツト,C,99
ヒートシヨツト,D,99
ヒートシヨツト,＊,13
ヒートブイ,C,41
ヒートブイ,D,62
ヒートブイ,E,99
ヒートサイド,D,35
ヒートサイド,E,44
ヒートサイド,F,34
バブルシヨツト,P,99
バブルシヨツト,Q,99
バブルシヨツト,R,99
バブルシヨツト,＊,8
バブルブイ,C,57
バブルブイ,D,99
バブルブイ,E,54
バブルサイド,D,46
バブルサイド,E,34
バブルサイド,F,38
サンダーボール1,B,99
サンダーボール1,L,99
サンダーボール1,P,99
サンダーボール1,＊,99
サンダーボール2,H,35
サンダーボール2,P,87
サンダーボール2,S,37
サンダーボール3,I,36
サンダーボール3,T,40
サンダーボール3,W,36
ワイドシヨツト1,C,99
ワイドシヨツト1,D,99
ワイドシヨツト1,E,49
ワイドシヨツト1,＊,18
ワイドシヨツト2,L,41
ワイドシヨツト2,M,50
ワイドシヨツト2,N,34
ワイドシヨツト3,S,43
ワイドシヨツト3,T,99
ワイドシヨツト3,U,47
フレイムライン1,F,99
フレイムライン1,G,99
フレイムライン1,H,99
フレイムライン1,＊,99
フレイムライン2,D,96
フレイムライン2,E,58
フレイムライン2,F,54
フレイムライン3,J,99
フレイムライン3,K,36
フレイムライン3,L,43
ガンデルソル1,A,35
ガンデルソル1,G,98
ガンデルソル1,M,48
ガンデルソル1,＊,4
ガンデルソル2,B,36
ガンデルソル2,G,47
ガンデルソル2,S,36
ガンデルソル3,C,40
ガンデルソル3,G,40
ガンデルソル3,T,40
ブリザード,H,86
ブリザード,J,63
ブリザード,V,99
ブリザード,＊,24
ヒートブレス,D,81
ヒートブレス,K,99
ヒートブレス,O,34
ヒートブレス,＊,22
エレキシヨツク,J,41
エレキシヨツク,L,46
エレキシヨツク,S,34
エレキシヨツク,＊,9
ウツデイパウダー,F,37
ウツデイパウダー,T,35
ウツデイパウダー,W,38
ウツデイパウダー,＊,3
サンドリング,C,35
サンドリング,R,34
サンドリング,S,34
サンドリング,＊,99
ツインフアング1,A,99
ツインフアング1,B,99
ツインフアング1,C,99
ツインフアング1,＊,33
ツインフアング2,O,50
ツインフアング2,P,37
ツインフアング2,Q,44
ツインフアング3,F,38
ツインフアング3,G,95
ツインフアング3,H,34
エレメントフレア,K,82
エレメントフレア,N,37
エレメントフレア,P,99
エレメントアイス,H,99
エレメントアイス,Q,63
エレメントアイス,V,40
エレメントリーフ,C,40
エレメントリーフ,D,59
エレメントリーフ,I,40
エレメントサンド,A,40
エレメントサンド,L,40
エレメントサンド,S,34
エレメントサンド,＊,36
マグボルト1,B,94
マグボルト1,C,99
